id	name	avg_rating	n_reviews	n_sold	price	n_loved	n_rate_5	rate_4	rate_3	rate_2	rate_1	rate_with_cmt	rate_with_imgvid	shop_name	shop_n_review	shop_n_product	shop_rate_feedback	shop_time_feedback	shop_age	shop_follower
0	Điện thoại OPPO A37 Fullbox Mới - 2GB/16GB - Bảo hành 12 tháng -	4.952381	42	7800.0	1299000.0	3733	40	2	0	0	0	39	32	thinhphat_mobile	2331	259	79	6397	94491755.27151942	25619
1	điện thoại Samsung Galaxy S7 chính hãng / full chức năng	4.909091	33	6600.0	1899000.0	3063	32	0	0	1	0	31	29	thinhphat_mobile	2331	259	79	6397	94491756.0555203	25620
2	Điện thoại Nokia 1280 Nguyên zin Mới tinh chính hãng	4.517241	58	8800.0	189900.0	3607	49	3	1	1	5	41	37	annhien_mobile	1444	499	89	5244	94479161.14652061	27558
3	ĐIỆN THOẠI NOKIA 1202 MỚI TINH FULL SẠC PIN CHÍNH HÃNG	4.69697	33	6100.0	175000.0	3111	30	0	1	0	2	25	18	thinhphat_mobile	2331	259	79	6397	94491757.74751902	25620
4	điện thoại Samsung Galaxy S7 Edge 2 sim ram 4G bộ nhớ 32G mới, chơi game nặng mượt	5.0	17	5400.0	2799000.0	272	17	0	0	0	0	14	12	smartphonehcm	802	327	72	8502	7995707.634520054	1547
5	Điện Thoại Nokia 6300 Siêu Bền _ Đủ Màu _ Chính hãng Nhập Khẩu	4.526316	57	7000.0	290000.0	3620	46	2	5	1	3	48	42	thinhphat_mobile	2331	259	79	6397	94491759.35552096	25620
6	điện thoại nokia 110i nghe gọi to rõ kèm pin sạc chính hãng	4.475	40	8300.0	145000.0	3601	34	0	1	1	4	38	31	annhien_mobile	1444	499	89	5244	94479164.08552146	27558
7	ĐIỆN THOẠI SAMSUNG GALAXY S6 FULLBOX NGUYÊN ZIN CHÍNH HÃNG 100%//SHIP NỘI THÀNH	5.0	28	3900.0	1818000.0	3153	19	0	0	0	0	14	13	thinhphat_mobile	2331	259	79	6397	94491760.7445364	25620
8	Điện Thoại Siêu Dễ Thương Mini BM10	4.878869	1492	6100.0	169000.0	478	1282	59	19	6	13	597	429	kechaoda	16310	314	99	2959	81484557.11651969	12482
9	Điện thoại Nokia 6300 đầy đủ pin sạc màu bạc	5.0	13	2700.0	289900.0	6288	13	0	0	0	0	11	11	thaophuongphuongphuong	384	104	98	1129	99739787.83052063	24116
10	Điện thoại Samsung Galaxy A10s (32GB/2GB) - Hãng phân phối chính thức	4.941019	1122	14800.0	2690000.0	1862	925	17	6	0	5	209	135	samsung_official_store	20382	235	100	2891	84121408.92451978	80981
11	Điện Thoại OPPO A12 (3GB/32GB) - Hàng Chính Hãng	4.977157	395	4700.0	2990000.0	621	388	7	1	0	0	108	75	oppo_official_store_vn	4352	61	100	3454	110729105.63251996	110341
12	điện thoại Samsung galaxy s7 1 sim Nhiều màu.... giá cả hợp lý	4.666667	24	3700.0	1850000.0	215	22	0	0	0	2	21	19	didongviet1	875	341	66	11095	4858335.991518974	10299
13	Điện Thoại Mini Nokia 2 Sim Cute	4.82568	1176	5900.0	35000.0	477	842	43	17	9	15	390	246	shoplinhtrang688	2713	109	71	12283	56598856.223530054	2153
14	điện thoại CHÍNH HÃNG Oppo F9 ram 6G Bộ nhớ 64G MỚI, chơi LIÊN QUÂN-PUBG-FREE FIRE ngon lành	4.68	50	3000.0	2550000.0	3716	45	1	0	1	3	44	35	thinhphat_mobile	2331	259	79	6397	94491768.97153258	25620
15	Điện thoại Nokia 1202 mới, giá tốt bao xài	5.0	10	2900.0	179000.0	6171	10	0	0	0	0	9	9	thaophuongphuongphuong	384	104	98	1129	99739794.71453261	24116
16	Điện thoại Xiaomi Redmi Note 9S 4GB/64GB - Hàng chính hãng - Bảo hành điện tử 18 tháng	4.861883	1300	5600.0	5490000.0	1795	1205	53	14	11	17	646	449	xiaomivn_official_store	7578	88	94	4701	36316637.9065392	47887
17	Điện Thoại Nokia 6300 Chính Hãng Bảo Hành 12 Tháng Có Đèn Báo Cuộc Gọi Nhỡ imeil Chuẩn Trùng	4.694422	2474	5400.0	285000.0	833	530	42	27	17	26	318	197	kechaoda	16310	314	99	2959	81484566.80052209	12482
