id	name	avg_rating	n_reviews	n_sold	price	n_loved	n_rate_5	rate_4	rate_3	rate_2	rate_1	rate_with_cmt	rate_with_imgvid	shop_name	shop_n_review	shop_n_product	shop_rate_feedback	shop_time_feedback	shop_age	shop_follower
0	Điện thoại Xiaomi Redmi Note 9S 4GB/64GB - Hàng chính hãng - Bảo hành điện tử 18 tháng	4.9	1300.0	5600.0	5490000.0	1800.0	1200.0	53.0	14.0	11.0	16.0	630.0	438.0	xiaomivn_official_store	7500.0	88.0	94%	trong vài giờ	14 tháng trước	47800.0
1	Điện thoại OPPO A37 Fullbox Mới - 2GB/16GB - Bảo hành 12 tháng -	5.0	42.0	7800.0	1299000.0	3600.0	40.0	2.0	0.0	0.0	0.0	39.0	32.0	thinhphat_mobile	2300.0	259.0	79%	trong vài giờ	37 tháng trước	24900.0
2	điện thoại Samsung Galaxy S7 chính hãng / full chức năng	4.9	33.0	6600.0	1899000.0	2900.0	32.0	0.0	0.0	1.0	0.0	31.0	29.0	thinhphat_mobile	2300.0	259.0	79%	trong vài giờ	37 tháng trước	24900.0
3	Điện thoại Nokia 1280 Huyền thoại chính hãng kèm pin sạc	4.9	33.0	4100.0	189900.0	3500.0	32.0	0.0	1.0	0.0	0.0	32.0	29.0	annhien_mobile	1400.0	499.0	89%	trong vài giờ	37 tháng trước	27000.0
4	Điện thoại Nokia 1280 Nguyên zin Mới tinh chính hãng	4.5	58.0	8800.0	189900.0	3500.0	48.0	3.0	1.0	1.0	5.0	40.0	37.0	annhien_mobile	1400.0	499.0	89%	trong vài giờ	37 tháng trước	27000.0
5	Điện thoại Nokia 1280 chính hãng nguyên zin Nghe gọi to	4.8	46.0	3300.0	45000.0	3500.0	41.0	3.0	0.0	1.0	1.0	38.0	31.0	annhien_mobile	1400.0	499.0	89%	trong vài giờ	37 tháng trước	27000.0
6	Điện thoại Nokia 1280 Huyền thoại chính hãng kèm pin sạc	4.8	35.0	5900.0	189000.0	3500.0	33.0	0.0	0.0	0.0	2.0	29.0	27.0	annhien_mobile	1400.0	499.0	89%	trong vài giờ	37 tháng trước	27000.0
7	Điện Thoại Nokia 6300 Siêu Bền _ Đủ Màu _ Chính hãng Nhập Khẩu	4.5	56.0	7000.0	290000.0	3500.0	45.0	2.0	5.0	1.0	3.0	47.0	42.0	thinhphat_mobile	2300.0	259.0	79%	trong vài giờ	37 tháng trước	24900.0
8	ĐIỆN THOẠI NOKIA 1202 MỚI TINH FULL SẠC PIN CHÍNH HÃNG	4.7	33.0	6100.0	175000.0	2900.0	30.0	0.0	1.0	0.0	2.0	25.0	18.0	thinhphat_mobile	2300.0	259.0	79%	trong vài giờ	37 tháng trước	24900.0
9	điện thoại Samsung Galaxy S7 Edge 2 sim ram 4G bộ nhớ 32G mới, chơi game nặng mượt	5.0	17.0	5400.0	2799000.0	272.0	17.0	0.0	0.0	0.0	0.0	14.0	12.0	smartphonehcm	802.0	327.0	72%	trong vài giờ	3 tháng trước	1500.0
10	điện thoại nokia 110i nghe gọi to rõ kèm pin sạc chính hãng	4.5	40.0	8300.0	145000.0	3500.0	34.0	0.0	1.0	1.0	4.0	38.0	31.0	annhien_mobile	1400.0	499.0	89%	trong vài giờ	37 tháng trước	27000.0
11	ĐIỆN THOẠI SAMSUNG GALAXY S6 FULLBOX NGUYÊN ZIN CHÍNH HÃNG 100%//SHIP NỘI THÀNH	5.0	28.0	3900.0	1818000.0	3000.0	28.0	0.0	0.0	0.0	0.0	23.0	21.0	thinhphat_mobile	2300.0	259.0	79%	trong vài giờ	37 tháng trước	24900.0
12	Điện thoại Nokia 6300 đầy đủ pin sạc màu bạc	5.0	13.0	2700.0	289900.0	6200.0	13.0	0.0	0.0	0.0	0.0	11.0	11.0	thaophuongphuongphuong	381.0	104.0	98%	trong vài phút	3 năm trước	23500.0
13	Điện thoại Samsung Galaxy A10s (32GB/2GB) - Hãng phân phối chính thức	4.9	1100.0	14800.0	2690000.0	1900.0	920.0	17.0	6.0	0.0	5.0	206.0	133.0	samsung_official_store	20300.0	235.0	100%	trong vài giờ	33 tháng trước	80900.0
14	Điện Thoại Siêu Dễ Thương Mini BM10	4.9	1500.0	6000.0	169000.0	478.0	1300.0	59.0	19.0	6.0	13.0	597.0	428.0	kechaoda	16300.0	315.0	99%	trong vài giờ	32 tháng trước	12500.0
15	điện thoại Samsung galaxy s7 1 sim Nhiều màu.... giá cả hợp lý	4.8	24.0	3700.0	1850000.0	215.0	23.0	0.0	0.0	0.0	1.0	21.0	18.0	didongviet1	872.0	341.0	66%	trong vài giờ	56 ngày trước	10300.0
16	Điện Thoại OPPO A12 (3GB/32GB) - Hàng Chính Hãng	5.0	388.0	4500.0	2990000.0	619.0	380.0	7.0	1.0	0.0	0.0	102.0	70.0	oppo_official_store_vn	4300.0	59.0	100%	trong vài giờ	4 năm trước	110300.0
17	Điện Thoại Mini Nokia 2 Sim Cute	4.8	1200.0	5900.0	35000.0	477.0	841.0	43.0	17.0	9.0	15.0	390.0	245.0	shoplinhtrang688	2700.0	109.0	71%	trong vài giờ	21 tháng trước	2100.0
18	điện thoại CHÍNH HÃNG Oppo F9 ram 6G Bộ nhớ 64G MỚI, chơi LIÊN QUÂN-PUBG-FREE FIRE ngon lành	4.7	50.0	3000.0	2550000.0	3600.0	45.0	1.0	0.0	1.0	3.0	44.0	35.0	thinhphat_mobile	2300.0	259.0	79%	trong vài giờ	37 tháng trước	24900.0
19	Điện thoại Nokia 1202 mới, giá tốt bao xài	5.0	10.0	2900.0	179000.0	6000.0	10.0	0.0	0.0	0.0	0.0	9.0	9.0	thaophuongphuongphuong	381.0	104.0	98%	trong vài phút	3 năm trước	23500.0
20	Điện Thoại Nokia 6300 Chính Hãng Bảo Hành 12 Tháng Có Đèn Báo Cuộc Gọi Nhỡ imeil Chuẩn Trùng	4.7	2500.0	5400.0	285000.0	834.0	530.0	42.0	27.0	17.0	26.0	318.0	197.0	kechaoda	16300.0	315.0	99%	trong vài giờ	32 tháng trước	12500.0
21	Điện thoại Siêu Nhỏ B3310 02 sim 02 sóng gắn được thẻ nhớ	4.9	935.0	3700.0	52000.0	544.0	647.0	31.0	9.0	5.0	7.0	262.0	179.0	chinhhangdienthoai	1900.0	227.0	87%	trong vài giờ	28 tháng trước	1000.0
22	Điện thoại iPhone 8 Plus Quốc tế 64GB Mới 99% Bảo Hành 12 Tháng	4.7	41.0	6500.0	5690000.0	8400.0	34.0	5.0	0.0	0.0	2.0	30.0	13.0	iphone..79	308.0	45.0	85%	trong vài giờ	7 tháng trước	22100.0
23	Điện thoại Samsung Galaxy A20s (32GB/3GB) - Hãng phân phối chính thức	4.9	823.0	15400.0	3290000.0	1400.0	800.0	13.0	3.0	1.0	5.0	259.0	189.0	samsung_official_store	20300.0	235.0	100%	trong vài giờ	33 tháng trước	80900.0
24	Điện Thoại NOKIA 6300 6300i Main Zin Chính Hãng Đủ Màu - OHNO BH 24 Tháng Có Pin & Sạc	4.7	47.0	5900.0	499000.0	1700.0	40.0	3.0	3.0	0.0	1.0	20.0	7.0	ohnovn	388.0	176.0	82%	trong vài giờ	19 tháng trước	3400.0
25	Điện Thoại Nokia 101,Nokia 100 Zin Chính Hãng Đủ Pin Sạc	4.6	1100.0	3300.0	135000.0	31400.0	678.0	69.0	39.0	18.0	42.0	419.0	226.0	thuythuy889	11700.0	97.0	96%	trong vài giờ	5 năm trước	39100.0
26	Điện thoại Vivo Y30i 4Gb + 64Gb - Hàng chính hãng	5.0	405.0	2500.0	2850000.0	586.0	396.0	7.0	1.0	0.0	1.0	102.0	72.0	vivo_official_store_vn	3500.0	50.0	100%	trong vài giờ	32 tháng trước	79600.0
27	Điện thoại siêu nhỏ 2 sim lắp được thẻ nhớ	4.9	310.0	2200.0	158000.0	523.0	148.0	1.0	1.0	1.0	2.0	71.0	53.0	vuthuha1207_94	1300.0	121.0	58%	trong vài giờ	35 tháng trước	1500.0
28	Điện Thoại Nokia 1280 Siêu Mới Đẹp. Dùng rất bền	5.0	9.0	1900.0	185000.0	5900.0	9.0	0.0	0.0	0.0	0.0	6.0	5.0	thaophuongphuongphuong	381.0	104.0	98%	trong vài phút	3 năm trước	23500.0
29	Điện thoại iPhone 7 Plus Quốc tế 128GB Mới 99% Bảo Hành 12 Tháng	4.7	23.0	5700.0	5990000.0	7900.0	19.0	2.0	1.0	0.0	1.0	19.0	6.0	iphone..79	308.0	45.0	85%	trong vài giờ	7 tháng trước	22100.0
30	Điện Thoại Samsung Galaxy A01 Core (2GB/32GB) - Hàng Chính Hãng	4.8	90.0	1400.0	1890000.0	240.0	83.0	2.0	2.0	2.0	1.0	22.0	19.0	samsung_official_store	20300.0	235.0	100%	trong vài giờ	33 tháng trước	80900.0
31	Điện thoại Mini-Nokia 3310 2 sim 2 sóng, Mini siêu nhỏ,Bh 12 tháng 1 đổi 1	4.9	105.0	1800.0	169000.0	49.0	98.0	4.0	1.0	0.0	2.0	60.0	45.0	tomeno	1000.0	269.0	98%	trong vài giờ	28 tháng trước	839.0
32	Điện Thoại Vsmart Active 3 6GB/64GB - Hàng Chính Hãng	5.0	308.0	586.0	3129000.0	49800.0	303.0	2.0	1.0	0.0	2.0	167.0	111.0	dienthoaichinhhanghonghanh	3500.0	106.0	98%	trong vài giờ	14 tháng trước	98800.0
33	điện thoại Samsung Galaxy S8 64G 2sim CHÍNH HÃNG mới (Đủ màu)	5.0	7.0	5100.0	2990000.0	209.0	7.0	0.0	0.0	0.0	0.0	6.0	5.0	didongviet1	872.0	341.0	66%	trong vài giờ	56 ngày trước	10300.0
34	Điện Thoại Vsmart Bee 3 2GB/16GB - Hàng Chính Hãng	5.0	301.0	896.0	1369000.0	47900.0	293.0	8.0	0.0	0.0	0.0	143.0	102.0	dienthoaichinhhanghonghanh	3500.0	106.0	98%	trong vài giờ	14 tháng trước	98800.0
35	điện thoại Oppo F9 2sim 64G mới Fullbox	4.6	38.0	2800.0	2549000.0	2800.0	34.0	0.0	0.0	0.0	4.0	20.0	21.0	smartphonelethuan	921.0	600.0	72%	trong vài giờ	36 tháng trước	20700.0
36	Điện thoại iPhone 7 Plus Quốc tế 128GB Mới 99% Bảo Hành 12 Tháng	4.9	36.0	2900.0	4490000.0	414.0	18.0	0.0	1.0	1.0	0.0	15.0	9.0	gianhangapple	479.0	49.0	85%	trong vài giờ	15 tháng trước	3400.0
37	Điện Thoại Samsung Galaxy M21 (64GB/4GB) - Hàng Chính Hãng	4.9	684.0	1400.0	3990000.0	1300.0	635.0	32.0	5.0	5.0	5.0	365.0	274.0	samsung_official_store	20300.0	235.0	100%	trong vài giờ	33 tháng trước	80900.0
38	Điện thoại Vsmart Joy4 (3GB+64GB) - Hàng chính hãng	4.9	229.0	611.0	2990000.0	251.0	221.0	3.0	4.0	1.0	0.0	112.0	78.0	vsmart_official_store	997.0	22.0	100%	trong vài giờ	22 tháng trước	7000.0
39	Anten wiffi iphone 6, 6s	4.8	21.0	36.0	15000.0	10.0	8.0	0.0	0.0	0.0	0.0	1.0	1.0	linhkieniphone	24500.0	2300.0	83%	trong vài giờ	3 năm trước	11600.0
40	Điện thoại Mini nhỏ gọn 2 sim kết nối blutus	4.9	386.0	1400.0	59000.0	118.0	150.0	4.0	0.0	0.0	3.0	66.0	47.0	mykim20032018	700.0	23.0	71%	trong vài giờ	26 tháng trước	241.0
41	Điện Thoại Nokia 6300 Đủ Màu Kiểu Dáng Nhỏ Gọn Tiện Lợi	5.0	3.0	2900.0	320000.0	5400.0	3.0	0.0	0.0	0.0	0.0	3.0	3.0	thaophuongphuongphuong	381.0	104.0	98%	trong vài phút	3 năm trước	23500.0
42	[HÀNG CHÍNH HÃNG] ĐIỆN THOẠI Nokia 1280 kèm pin sạc có bảo hành 6 THÁNG	4.9	122.0	282.0	239000.0	2900.0	113.0	8.0	1.0	0.0	0.0	74.0	55.0	hachi8892	234.0	70.0	97%	trong vài phút	18 tháng trước	4200.0
43	Nokia 110i Điện Thoại Nokia 110i Mới Tốt	5.0	8.0	1400.0	155000.0	5600.0	8.0	0.0	0.0	0.0	0.0	7.0	7.0	thaophuongphuongphuong	381.0	104.0	98%	trong vài phút	3 năm trước	23500.0
44	Điện Thoại Mini Nokia 2 Sim Cute	4.9	114.0	556.0	175000.0	65.0	106.0	5.0	3.0	0.0	0.0	49.0	30.0	anhbinhminhv	212.0	35.0	95%	trong vài phút	9 tháng trước	153.0
