id	rating	content
2	5	Giao hàng hơi lâ. Chưa bóc gói hàng nên k biết hàng hoá ra sao nữa 
2	5	e đã nhận hàng nha shop . máy rất deph . máy bao gồm pin và sạc rất rẻ và máy xài rất ok ...... . . 
2	4	Mới mua lần đầu. Cầm chắc tay. Chất lượng chưa kiểm chứng.
2	4	
2	3	Bị hở một bên không đóng kín duoc . Dùng xài ok. 
2	2	
2	1	
2	1	Đặt 2 cái bị hỏng cả 2. 1 cái hỏng bàn phím, 1 cái hỏng loa với mic. 
5	5	Giao hàng nhanh,đóng gói kỹ,nhưng bên giao hàng làm hộp móp rất sợ máy bị hư..hên máy ko sao
5	5	máy đẹp quá shop. nhận máy thử sim vào luôn. máy nghe gọi to rõ. sóng tốt. truy cập nhận sim ngay. loa míc nge nói to rõ. đường truyền ổn định. hài lòng về sản phẩm này. đúng như shop tư vấn. chất lượng về sản phẩm mà chất lượng về máy nữa. cáp sạc phụ kiện đầy đủ. đóng hàng bao bọc kĩ. giao đúng mẫ
5	4	Sản phẩm tạm ổn, sạc vỡ nát, vỏ móp. Đóng gói kém. Đc cái giao hàng nhanh. . 
5	4	
5	3	Gắn sim mỡ nguồn là tắt , không hiểu kiểu gì luôn
5	3	xài được 5 ngày thì giờ mất sóng luôn. 
5	2	Máy nhanh hết pin, gọi thì âm thanh bị dè. Đã lưu ý 2 lần với shop là giao màu đen hoặc đen bạc lại đi giao màu vàng.. Dịch vụ giao hàng thì cực kỳ tệ. Đứng từ xa ném hàng, chưa bao giờ gặp dịch vụ nào tệ như thế.
5	1	Nói khong phai dua chứ hang khong tai mà kém hơn được vừa nhận hàng nhưng kém quá mức cho phép chưa làm gì mà bàn phím đã long rơi ròi ak giờ không biết là như nào khi mà đã xác nhận rồi chất lượng thì chưa thấy thế nào mà giờ đã thấy long bàn phím luôn
5	1	Sạc k vào
8	5	Mua nhiều lần nên yên tâm lắm. Bảo hành cực tốt. Okkkkkkkkkkkkkkkkkkkkkkkkkk
8	5	Okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
8	4	Hình ảnh ko liên quan,chất lượng lâu dài thì ko bít nhưng đẹp,nhỏ xinh
8	4	K nghĩ nó nhỏ zi luôn, bằng ngón tay út. Vừa nhận chưa mở ra nên chưa biết thế nào.
8	3	Đã nhânn hàng .chưa mở ra nên chưa biết dùng thế nào .mk muốn đổi địa chỉ shop bảo k hiểu và tự gọi  tổng đài shoppe đi.  Nên mk cho 5 sao về sản phẩm và 3 sao vì cách tư vấn của shop. Cộng vô chia đôi là 4 sao nha
