name	category	n_sold	price	shop_address	image_url	url
Điện thoại Xiaomi Redmi Note 9S 4GB/64GB - Hàng chính hãng - Bảo hành điện tử 18 tháng	DIENTHOAI	5600.0	5490000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/b982abe468e4813d2ba01beda0118332_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Redmi-Note-9S-4GB-64GB-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-B%E1%BA%A3o-h%C3%A0nh-%C4%91i%E1%BB%87n-t%E1%BB%AD-18-th%C3%A1ng-i.191065034.7222950883
Điện thoại OPPO A37 Fullbox Mới - 2GB/16GB - Bảo hành 12 tháng -	DIENTHOAI	7800.0	1299000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/654146756efe4b5fe7cf516a2221b153_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-OPPO-A37-Fullbox-M%E1%BB%9Bi-2GB-16GB-B%E1%BA%A3o-h%C3%A0nh-12-th%C3%A1ng--i.48782032.6841251055
điện thoại Samsung Galaxy S7 chính hãng / full chức năng	DIENTHOAI	6600.0	1899000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/622be579c39efa0ea92b8659aebfb90a_tn	https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Samsung-Galaxy-S7-ch%C3%ADnh-h%C3%A3ng-full-ch%E1%BB%A9c-n%C4%83ng-i.48782032.7241163781
Điện thoại Nokia 1280 Huyền thoại chính hãng kèm pin sạc	DIENTHOAI	4100.0	189900.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/c92a82f0a1e8076fcc1e650bbdfc5744_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-1280-Huy%E1%BB%81n-tho%E1%BA%A1i-ch%C3%ADnh-h%C3%A3ng-k%C3%A8m-pin-s%E1%BA%A1c-i.48810739.7862409857
Điện thoại Nokia 1280 Nguyên zin Mới tinh chính hãng	DIENTHOAI	8800.0	189900.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/c92a82f0a1e8076fcc1e650bbdfc5744_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-1280-Nguy%C3%AAn-zin-M%E1%BB%9Bi-tinh-ch%C3%ADnh-h%C3%A3ng-i.48810739.3262574550
Điện thoại Nokia 1280 chính hãng nguyên zin Nghe gọi to	DIENTHOAI	3300.0	45000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/fad3b49e62e5f4aa75433650ad6f2225_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-1280-ch%C3%ADnh-h%C3%A3ng-nguy%C3%AAn-zin-Nghe-g%E1%BB%8Di-to-i.48810739.3462650578
Điện thoại Nokia 1280 Huyền thoại chính hãng kèm pin sạc	DIENTHOAI	5900.0	189000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/3c7b384669890effd8641308c49247c6_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-1280-Huy%E1%BB%81n-tho%E1%BA%A1i-ch%C3%ADnh-h%C3%A3ng-k%C3%A8m-pin-s%E1%BA%A1c-i.48810739.5262414325
Điện Thoại Nokia 6300 Siêu Bền _ Đủ Màu _ Chính hãng Nhập Khẩu	DIENTHOAI	7000.0	290000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/ed8c6f3543e459c5d22e168c973dfd93_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-6300-Si%C3%AAu-B%E1%BB%81n-_-%C4%90%E1%BB%A7-M%C3%A0u-_-Ch%C3%ADnh-h%C3%A3ng-Nh%E1%BA%ADp-Kh%E1%BA%A9u-i.48782032.5336036961
ĐIỆN THOẠI NOKIA 1202 MỚI TINH FULL SẠC PIN CHÍNH HÃNG	DIENTHOAI	6100.0	175000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/b36a13ed46c0e3feab04d679172f4dc3_tn	https://shopee.vn/%C4%90I%E1%BB%86N-THO%E1%BA%A0I-NOKIA-1202-M%E1%BB%9AI-TINH-FULL-S%E1%BA%A0C-PIN-CH%C3%8DNH-H%C3%83NG-i.48782032.7336249051
điện thoại Samsung Galaxy S7 Edge 2 sim ram 4G bộ nhớ 32G mới, chơi game nặng mượt	DIENTHOAI	5400.0	2799000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/deb114c783e8feb58d6ce20edbe45c33_tn	https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Samsung-Galaxy-S7-Edge-2-sim-ram-4G-b%E1%BB%99-nh%E1%BB%9B-32G-m%E1%BB%9Bi-ch%C6%A1i-game-n%E1%BA%B7ng-m%C6%B0%E1%BB%A3t-i.309997682.5452761561
điện thoại nokia 110i nghe gọi to rõ kèm pin sạc chính hãng	DIENTHOAI	8300.0	145000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/5d9c39008ddefa889d9d95fc9444c325_tn	https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-nokia-110i-nghe-g%E1%BB%8Di-to-r%C3%B5-k%C3%A8m-pin-s%E1%BA%A1c-ch%C3%ADnh-h%C3%A3ng-i.48810739.6762410547
ĐIỆN THOẠI SAMSUNG GALAXY S6 FULLBOX NGUYÊN ZIN CHÍNH HÃNG 100%//SHIP NỘI THÀNH	DIENTHOAI	3900.0	1818000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/857d6f4e26fea789144608539340987b_tn	https://shopee.vn/%C4%90I%E1%BB%86N-THO%E1%BA%A0I-SAMSUNG-GALAXY-S6-FULLBOX-NGUY%C3%8AN-ZIN-CHI%CC%81NH-HA%CC%83NG-100-SHIP-N%C3%94%CC%A3I-THA%CC%80NH-i.48782032.786717083
Điện thoại Nokia 6300 đầy đủ pin sạc màu bạc	DIENTHOAI	2700.0	289900.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/f4c349571ea8639ed2ddce4e1a35233c_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-6300-%C4%91%E1%BA%A7y-%C4%91%E1%BB%A7-pin-s%E1%BA%A1c-m%C3%A0u-b%E1%BA%A1c-i.39413762.5162298482
Điện thoại Samsung Galaxy A10s (32GB/2GB) - Hãng phân phối chính thức	DIENTHOAI	14800.0	2690000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/7ea7ceb4dfdce335a34372279e401917_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Samsung-Galaxy-A10s-(32GB-2GB)-H%C3%A3ng-ph%C3%A2n-ph%E1%BB%91i-ch%C3%ADnh-th%E1%BB%A9c-i.65589552.2693593903
Điện Thoại Siêu Dễ Thương Mini BM10	DIENTHOAI	6000.0	169000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/22ac0bf9b42272b917013f1ddb749646_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Si%C3%AAu-D%E1%BB%85-Th%C6%B0%C6%A1ng-Mini-BM10-i.70094786.6602136609
